Nombre,Población,Superficie,Continente
Afganistán,38928341,652230,Asia
Uzbekistán,33469203,447400,Asia
Nepal,29136808,147181,Asia
Sri Lanka,21803000,65610,Asia
Kazajistán,18776707,2724900,Asia
Argelia,43851044,2381741,África
Sudán,43849260,1861484,África
Iraq,40222503,438317,Asia
Afganistán,38928341,652230,Asia
Colombia,50882891,1141748,América
Argentina,45376763,2780400,América;
Chile,19116209,756102,América;
Noruega,5421241,385207,Europa;
Suecia,10327589,450295,Europa;
Finlandia,5540720,338424,Europa;
Dinamarca,5814461,43094,Europa;
Grecia,10724599,131957,Europa;
Portugal,10196709,92212,Europa;
Irlanda,4937796,70273,Europa;
Suiza,8570146,41284,Europa;
Bélgica,11589623,30528,Europa;
Países Bajos,17441139,41543,Europa;
Austria,8917205,83879,Europa;
Hungría,9749763,93028,Europa;
República Checa,10708981,78865,Europa;
Eslovaquia,5456362,49035,Europa;
Croacia,4105267,56594,Europa;
Serbia,8772235,88361,Europa;
Bulgaria,6948445,110879,Europa;
Rumania,19237691,238397,Europa;
Moldavia,2657637,33843,Europa;
Lituania,2722289,65300,Europa;
Letonia,1906800,64589,Europa;
Estonia,1326535,45227,Europa;
Islandia,343599,103000,Europa;
Luxemburgo,634814,2586,Europa;
Malta,514564,316,Europa;
Chipre,1207359,9251,Europa/Asia;
Georgia,3989167,69700,Europa/Asia;
Armenia,2963243,29743,Europa/Asia;
Azerbaiyán,10139177,86600,Europa/Asia;
Kazajistán,18776707,2724900,Asia;
Kirguistán,6524195,199951,Asia;
Tayikistán,9537645,143100,Asia;
Turkmenistán,6031187,488100,Asia;
Uzbekistán,33469203,447400,Asia;
Mongolia,3278290,1564116,Asia;
Corea del Norte,25778816,120538,Asia;
Corea del Sur,51780579,100210,Asia;
Japón,125800000,377975,Asia;
China,1411778724,9596961,Asia;
India,1393409038,3287263,Asia;
Nepal,29136808,147181,Asia;
Sri Lanka,21803000,65610,Asia;
Maldivas,540544,300,Asia;
Bangladesh,169575884,147570,Asia;
Bhután,771608,38394,Asia;
